handle,total_n,artist,popularity,genre1,genre2,political_n,political_proportion,poliprop_bin
fuerza_regida,30,Fuerza Regida,63,latin,,1,0.02,Circumstantially Engaged
quavostuntin,3115,Quavo,454,hiphop and r&b,,80,0.02,Circumstantially Engaged
kaceymusgraves,1245,Kacey Musgraves,381,country,,60,0.05,Circumstantially Engaged
jesusmiranda,3176,Chyno Miranda,172,latin,,101,0.02,Circumstantially Engaged
jlo,3181,Jennifer Lopez,2285,latin,,95,0.03,Circumstantially Engaged
brennleybrown,3197,Brennley Brown,26,country,,161,0.05,Circumstantially Engaged
royceda59,3173,Royce Da 5'9,8,hiphop and r&b,,110,0.02,Circumstantially Engaged
juanmagan,3177,Juan Magan,579,latin,,103,0.03,Circumstantially Engaged
tamarbraxtonher,3140,Tamar Braxton,122,hiphop and r&b,,97,0.02,Circumstantially Engaged
tyga,3118,Tyga,2337,hiphop and r&b,,82,0.02,Circumstantially Engaged
tyrese,3219,Tyrese,43,hiphop and r&b,,105,0.02,Circumstantially Engaged
usher,3239,Usher,1917,hiphop and r&b,,106,0.02,Circumstantially Engaged
yg,3129,YG,1155,hiphop and r&b,,82,0.02,Circumstantially Engaged
luisfonsi,3210,Luis Fonsi,3736,latin,,85,0.03,Circumstantially Engaged
youngdolph,3044,Young Dolph,6,hiphop and r&b,,92,0.02,Circumstantially Engaged
omardruiz,3228,Omar Ruiz,528,latin,,93,0.03,Circumstantially Engaged
younggreatness7,3092,Young Greatness,214,hiphop and r&b,,85,0.02,Circumstantially Engaged
simpsonsturgill,3,Sturgill Simpson,47,rock,,0,0,Unengaged
yandeloficial,3202,Yandel,4409,latin,,83,0.03,Circumstantially Engaged
youngmamusic,3103,Young M.A,836,hiphop and r&b,,92,0.02,Circumstantially Engaged
fatjoe,3076,Fat Joe,734,hiphop and r&b,,140,0.05,Circumstantially Engaged
tip,3203,T.I.,37,hiphop and r&b,,182,0.06,Circumstantially Engaged
jidenna,2971,Jidenna,1437,hiphop and r&b,,197,0.07,Circumstantially Engaged
korynhawthorne,945,Koryn Hawthorne,65,hiphop and r&b,,64,0.07,Circumstantially Engaged
zendaya,3150,Zendaya,251,hiphop and r&b,pop,225,0.07,Circumstantially Engaged
tronchoqo,2299,Pepe Quintana,228,latin,,5,0.04,Circumstantially Engaged
el_bebeto,3129,El Bebeto,279,latin,,176,0.06,Circumstantially Engaged
steveperrymusic,200,Steve Perry,26,rock,,0,0,Unengaged
trentharmon,3198,Trent Harmon,574,country,,201,0.06,Circumstantially Engaged
willienelson,134,Willie Nelson,3,country,,5,0.04,Circumstantially Engaged
pink,3173,P!nk,1319,pop,,247,0.08,Circumstantially Engaged
nickfradiani,3200,Nick Fradiani,374,pop,,280,0.09,Circumstantially Engaged
scrowder,3198,Crowder,4780,christian,,229,0.07,Circumstantially Engaged
redmarlow,2500,Red Marlow,21,country,,217,0.09,Circumstantially Engaged
johnlegend,3188,John Legend,1141,pop,hiphop and r&b,529,0.17,Actively Engaged
chancetherapper,3161,Chance The Rapper,694,hiphop and r&b,,362,0.11,Actively Engaged
tiesto,3175,Tiesto,436,latin,,145,0.17,Actively Engaged
sufjanstevens,20,Sufjan Stevens,139,rock,,0,0,Unengaged
